Particle Z-Coordinate,Particle Mass,Particle X-Coordinate,Particle ID,Particle Y-Coordinate
time (s) = 0.0
time (s) = 0.1
 3.46262e-03, 5.22656e-07, 5.58870e-03, 0.00000e+00, 4.45577e-03
 9.34291e-03, 5.22656e-07, 1.44910e-03, 1.00000e+00, 4.28313e-03
 1.39473e-02, 5.22656e-07,-2.44689e-03, 2.00000e+00, 3.96669e-03
-6.88505e-03, 5.22656e-07, 6.43510e-03, 3.00000e+00, 4.12276e-03
 6.52472e-03, 5.22656e-07, 1.14728e-02, 4.00000e+00, 3.87240e-03
-9.78903e-03, 5.22656e-07, 5.78506e-05, 5.00000e+00, 3.98476e-03
 3.43967e-03, 5.22656e-07, 1.72459e-02, 6.00000e+00, 3.43237e-03
-4.94997e-03, 5.22656e-07,-8.50565e-03, 7.00000e+00, 3.65425e-03
-6.65246e-03, 5.22656e-07,-7.26592e-03, 8.00000e+00, 3.51829e-03
 6.04038e-03, 5.22656e-07, 5.54415e-04, 9.00000e+00, 3.34004e-03
-1.64058e-02, 5.22656e-07, 6.42454e-03, 1.00000e+01, 3.38211e-03
-5.04816e-03, 5.22656e-07, 1.54160e-02, 1.10000e+01, 3.03922e-03
-1.09234e-02, 5.22656e-07, 4.19699e-03, 1.20000e+01, 3.30299e-03
-5.34647e-03, 5.22656e-07, 2.47239e-03, 1.30000e+01, 2.80818e-03
 1.68792e-03, 5.22656e-07,-4.28381e-03, 1.40000e+01, 2.67695e-03
-4.15815e-03, 5.22656e-07, 9.61624e-03, 1.50000e+01, 2.54387e-03
-8.70688e-03, 5.22656e-07, 6.17022e-03, 1.60000e+01, 2.42179e-03
 5.01724e-03, 5.22656e-07,-2.63564e-03, 1.70000e+01, 2.28195e-03
-2.23651e-03, 5.22656e-07,-1.12842e-02, 1.80000e+01, 2.21761e-03
 1.02367e-02, 5.22656e-07,-7.51686e-03, 1.90000e+01, 1.90050e-03
-8.00109e-03, 5.22656e-07,-4.31216e-03, 2.00000e+01, 1.88917e-03
 1.78518e-03, 5.22656e-07, 5.07732e-03, 2.10000e+01, 1.75848e-03
-1.06577e-02, 5.22656e-07, 9.63555e-03, 2.20000e+01, 1.79423e-03
-1.80380e-02, 5.22656e-07,-3.73861e-03, 2.30000e+01, 1.31788e-03
 7.12070e-04, 5.22656e-07, 7.46574e-04, 2.40000e+01, 1.35956e-03
-1.71179e-02, 5.22656e-07, 5.13584e-03, 2.60000e+01, 1.12854e-03
-3.70539e-03, 5.22656e-07,-1.08112e-02, 2.70000e+01, 1.00578e-03
 3.63425e-03, 5.22656e-07, 1.60967e-02, 2.80000e+01, 7.96869e-04
-1.18139e-02, 5.22656e-07, 1.38201e-03, 2.90000e+01, 7.52506e-04
-8.49555e-03, 5.22656e-07,-4.47832e-03, 3.00000e+01, 5.69311e-04
 1.10375e-02, 5.22656e-07,-1.04346e-02, 3.10000e+01, 4.35176e-04
 1.39026e-02, 5.22656e-07,-2.37634e-03, 3.20000e+01, 3.08593e-04
-9.07709e-03, 5.22656e-07, 7.34086e-03, 3.30000e+01, 1.73716e-04
 2.09027e-03, 5.22656e-07, 1.93551e-03, 3.40000e+01, 7.58796e-05
-3.92574e-03, 5.22656e-07, 1.63770e-02, 3.50000e+01,-8.57221e-05
 6.10331e-03, 5.22656e-07,-3.29215e-03, 3.60000e+01,-2.17571e-04
-5.97674e-03, 5.22656e-07, 8.61369e-03, 3.70000e+01,-3.49733e-04
-4.83089e-03, 5.22656e-07, 8.53611e-04, 3.80000e+01,-4.69767e-04
time (s) = 0.2
 3.06402e-03, 5.22656e-07, 5.53325e-03, 0.00000e+00, 9.54524e-03
 8.94743e-03, 5.22656e-07, 1.49483e-03, 1.00000e+00, 9.30711e-03
 1.34434e-02, 5.22656e-07,-2.24122e-03, 2.00000e+00, 8.27207e-03
-7.26127e-03, 5.22656e-07, 6.48726e-03, 3.00000e+00, 9.18122e-03
 6.76657e-03, 5.22656e-07, 1.09383e-02, 4.00000e+00, 8.73273e-03
-1.01968e-02, 5.22656e-07, 1.48198e-05, 5.00000e+00, 9.16832e-03
 4.12511e-03, 5.22656e-07, 1.74099e-02, 6.00000e+00, 7.54539e-03
-5.32247e-03, 5.22656e-07,-8.49433e-03, 7.00000e+00, 8.76189e-03
-7.04659e-03, 5.22656e-07,-7.16118e-03, 8.00000e+00, 8.65546e-03
 5.56602e-03, 5.22656e-07, 5.78240e-04, 9.00000e+00, 8.39518e-03
-1.65779e-02, 5.22656e-07, 6.76121e-03, 1.00000e+01, 8.79324e-03
-4.82155e-03, 5.22656e-07, 1.57965e-02, 1.10000e+01, 8.04889e-03
-1.14965e-02, 5.22656e-07, 4.38868e-03, 1.20000e+01, 9.01229e-03
-5.87613e-03, 5.22656e-07, 2.46749e-03, 1.30000e+01, 7.87592e-03
 1.13904e-03, 5.22656e-07,-4.30943e-03, 1.40000e+01, 7.72419e-03
-4.71314e-03, 5.22656e-07, 9.68821e-03, 1.50000e+01, 7.50476e-03
-9.27547e-03, 5.22656e-07, 6.26674e-03, 1.60000e+01, 7.54898e-03
 4.38837e-03, 5.22656e-07,-2.63765e-03, 1.70000e+01, 7.34299e-03
-2.79538e-03, 5.22656e-07,-1.14286e-02, 1.80000e+01, 7.41941e-03
 9.70140e-03, 5.22656e-07,-7.16440e-03, 1.90000e+01, 6.55909e-03
-8.74144e-03, 5.22656e-07,-4.41675e-03, 2.00000e+01, 6.91696e-03
 9.95277e-04, 5.22656e-07, 5.04359e-03, 2.10000e+01, 6.84889e-03
-1.11958e-02, 5.22656e-07, 1.02032e-02, 2.20000e+01, 7.63864e-03
-1.83803e-02, 5.22656e-07,-1.31291e-03, 2.30000e+01, 3.68394e-03
-1.53208e-04, 5.22656e-07, 6.87464e-04, 2.40000e+01, 6.40624e-03
-1.77047e-02, 5.22656e-07, 5.30880e-03, 2.60000e+01, 5.02565e-03
-4.72578e-03, 5.22656e-07,-1.09279e-02, 2.70000e+01, 6.21265e-03
 3.39559e-03, 5.22656e-07, 1.61869e-02, 2.80000e+01, 5.67122e-03
-1.31397e-02, 5.22656e-07, 1.65353e-03, 2.90000e+01, 6.83076e-03
-9.87247e-03, 5.22656e-07,-4.53719e-03, 3.00000e+01, 5.51062e-03
 9.83985e-03, 5.22656e-07,-1.01291e-02, 3.10000e+01, 5.04983e-03
 1.22696e-02, 5.22656e-07,-2.12648e-03, 3.20000e+01, 4.52942e-03
-1.07378e-02, 5.22656e-07, 7.69288e-03, 3.30000e+01, 5.98791e-03
 7.34936e-05, 5.22656e-07, 1.88774e-03, 3.40000e+01, 5.12504e-03
-5.41725e-03, 5.22656e-07, 1.68387e-02, 3.50000e+01, 4.76978e-03
 3.60867e-03, 5.22656e-07,-3.34637e-03, 3.60000e+01, 4.82848e-03
-8.55349e-03, 5.22656e-07, 8.57626e-03, 3.70000e+01, 4.55481e-03
-7.44566e-03, 5.22656e-07, 8.76030e-04, 3.80000e+01, 4.58279e-03
-1.40888e-02, 5.22656e-07, 1.18440e-02, 3.90000e+01, 3.37405e-03
-1.65263e-02, 5.22656e-07, 8.16145e-03, 4.00000e+01, 3.76988e-03
 1.16040e-02, 5.22656e-07, 3.43719e-03, 4.10000e+01, 3.57980e-03
-5.11685e-03, 5.22656e-07,-7.63989e-03, 4.20000e+01, 4.11862e-03
-4.88055e-03, 5.22656e-07, 1.30582e-02, 4.30000e+01, 4.23765e-03
 6.02210e-04, 5.22656e-07,-1.05259e-02, 4.40000e+01, 3.77540e-03
-3.98051e-03, 5.22656e-07, 1.52381e-02, 4.50000e+01, 3.62229e-03
-1.61146e-02, 5.22656e-07, 9.19393e-03, 4.60000e+01, 3.32323e-03
-9.77474e-03, 5.22656e-07, 5.23134e-03, 4.70000e+01, 3.41134e-03
-7.00377e-04, 5.22656e-07, 8.54014e-03, 4.80000e+01, 3.27252e-03
-9.53594e-03, 5.22656e-07,-1.35261e-02, 4.90000e+01, 3.28238e-03
-8.43539e-04, 5.22656e-07, 1.98817e-03, 5.00000e+01, 2.97704e-03
-5.07413e-04, 5.22656e-07, 1.07768e-02, 5.10000e+01, 2.87320e-03
-1.46600e-02, 5.22656e-07, 5.40312e-03, 5.20000e+01, 3.13261e-03
-1.44434e-02, 5.22656e-07,-1.13711e-02, 5.40000e+01, 2.50122e-03
-8.69366e-03, 5.22656e-07,-1.59102e-02, 5.50000e+01, 2.26782e-03
-1.76507e-02, 5.22656e-07,-5.49092e-03, 5.60000e+01, 2.02981e-03
 9.89051e-03, 5.22656e-07,-1.38991e-02, 5.70000e+01, 1.62937e-03
-1.88354e-02, 5.22656e-07,-1.60570e-03, 5.80000e+01,-4.92696e-04
-7.22867e-03, 5.22656e-07,-1.06164e-02, 5.90000e+01, 1.81234e-03
-1.65771e-02, 5.22656e-07,-4.93183e-04, 6.00000e+01, 1.80305e-03
-6.74247e-03, 5.22656e-07,-5.05930e-03, 6.10000e+01, 1.50356e-03
-1.69137e-02, 5.22656e-07,-2.94857e-03, 6.20000e+01, 1.56610e-03
 8.66265e-04, 5.22656e-07,-1.28402e-02, 6.30000e+01, 1.30274e-03
 1.25730e-02, 5.22656e-07, 1.51890e-03, 6.40000e+01, 1.06607e-03
 9.35914e-03, 5.22656e-07,-9.67865e-03, 6.50000e+01, 9.95171e-04
-1.37602e-02, 5.22656e-07, 1.13204e-03, 6.60000e+01, 9.52217e-04
-1.85158e-02, 5.22656e-07,-1.13796e-03, 6.70000e+01,-2.77926e-04
 4.51129e-03, 5.22656e-07,-9.28745e-03, 6.80000e+01, 6.12415e-04
-4.24575e-03, 5.22656e-07, 1.05000e-02, 6.90000e+01, 4.70585e-04
-7.34159e-03, 5.22656e-07, 1.26635e-02, 7.00000e+01, 3.98567e-04
-6.50517e-03, 5.22656e-07,-6.86629e-03, 7.10000e+01, 2.08726e-04
 5.97797e-03, 5.22656e-07, 6.07116e-03, 7.20000e+01, 1.18520e-04
 2.01359e-03, 5.22656e-07, 1.20453e-02, 7.30000e+01,-9.20349e-06
-7.89642e-03, 5.22656e-07, 1.48657e-02, 7.40000e+01,-1.94537e-04
-5.91502e-03, 5.22656e-07, 4.95628e-03, 7.50000e+01,-3.30807e-04
-8.79747e-03, 5.22656e-07, 9.78702e-04, 7.60000e+01,-4.54596e-04
time (s) = 0.3
 2.64944e-03, 5.22656e-07, 5.50492e-03, 0.00000e+00, 1.46679e-02
 8.53941e-03, 5.22656e-07, 1.49454e-03, 1.00000e+00, 1.44462e-02
 1.29424e-02, 5.22656e-07,-2.14384e-03, 2.00000e+00, 1.28924e-02
-7.70332e-03, 5.22656e-07, 6.47417e-03, 3.00000e+00, 1.41966e-02
 7.40491e-03, 5.22656e-07, 1.01243e-02, 4.00000e+00, 1.35583e-02
